"사망원인별(104항목)","성별","연령(5세)별","항목","단위","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"신생물 (C00-D48)","남자","15세 미만","사망자수[명]","명","179","187","185","179","140","122","123","122","118","119","85","86","89","84","72","79","73","65","72",
"신생물 (C00-D48)","남자","15세 미만","사망률[십만명당]","십만명당","3.6","3.8","3.9","3.8","3.1","2.8","2.9","3","3","3.1","2.2","2.3","2.5","2.4","2.1","2.3","2.2","2","2.3",
"신생물 (C00-D48)","남자","15 - 64세","사망자수[명]","명","18067","17356","17155","16655","16302","16402","16314","16171","16099","15986","15839","15479","15354","15005","14355","14680","13888","13341","13009",
"신생물 (C00-D48)","남자","15 - 64세","사망률[십만명당]","십만명당","101.9","97.3","95.5","92.1","89.4","89.1","87.8","86.4","85.5","84.6","83.6","81.4","80.5","78.8","75.6","77.5","73.8","71.5","70.3",
"신생물 (C00-D48)","남자","65세 이상","사망자수[명]","명","23373","24142","25117","26467","27821","27822","29309","29126","30885","31662","32628","32863","33564","34540","35369","36397","37723","38420","39119",
"신생물 (C00-D48)","남자","65세 이상","사망률[십만명당]","십만명당","1500.3","1460.2","1433.7","1411","1396.1","1335","1352.7","1293.8","1306.8","1269.5","1243.8","1196.3","1174.3","1152.5","1121.5","1098","1072.9","1030.3","992.3",
"신생물 (C00-D48)","남자","연령미상","사망자수[명]","명","0","0","0","0","1","1","0","0","2","1","0","0","2","0","1","2","2","1","0",
"신생물 (C00-D48)","남자","연령미상","사망률[십만명당]","십만명당","","","","","","","","","","","","","","","","","","","",
"신생물 (C00-D48)","여자","15 - 19세","사망자수[명]","명","58","51","44","47","52","56","43","54","46","48","31","49","42","34","28","23","18","17","20",
"신생물 (C00-D48)","여자","15 - 19세","사망률[십만명당]","십만명당","3.8","3.4","2.9","3.1","3.3","3.5","2.6","3.2","2.8","2.9","1.9","3.1","2.8","2.3","2","1.8","1.5","1.5","1.8",
"신생물 (C00-D48)","여자","20 - 24세","사망자수[명]","명","87","77","74","63","51","51","55","55","54","51","42","67","47","45","63","43","38","36","41",
"신생물 (C00-D48)","여자","20 - 24세","사망률[십만명당]","십만명당","4.5","4.2","4.3","3.9","3.3","3.4","3.7","3.7","3.5","3.2","2.6","4.1","2.8","2.7","3.9","2.7","2.4","2.4","2.8",
"신생물 (C00-D48)","여자","25 - 29세","사망자수[명]","명","134","148","133","103","156","144","110","101","90","88","64","88","76","79","74","82","89","60","74",
"신생물 (C00-D48)","여자","25 - 29세","사망률[십만명당]","십만명당","7","7.8","6.9","5.3","7.9","7.4","6","5.8","5.5","5.6","4.2","5.9","5","5.1","4.7","5.1","5.4","3.6","4.5",
"신생물 (C00-D48)","여자","30 - 34세","사망자수[명]","명","341","368","301","336","294","268","219","241","239","262","211","239","183","175","161","144","140","131","126",
"신생물 (C00-D48)","여자","30 - 34세","사망률[십만명당]","십만명당","15.3","16.9","14.3","16.5","15","14.1","11.5","12.4","12.2","13.2","10.9","12.9","10.4","10.6","10.3","9.5","9.3","8.6","8.1",
"신생물 (C00-D48)","여자","35 - 39세","사망자수[명]","명","578","611","568","577","512","538","520","476","420","435","420","418","416","385","392","361","395","298","280",
"신생물 (C00-D48)","여자","35 - 39세","사망률[십만명당]","십만명당","27.1","28.2","25.6","25.6","22.8","24.2","23.9","22.7","20.7","22.2","22.1","21.9","21.5","19.6","19.8","18.6","21.3","17","17",
"신생물 (C00-D48)","여자","40 - 44세","사망자수[명]","명","992","894","841","785","811","828","797","773","813","805","790","759","710","696","596","606","562","575","588",
"신생물 (C00-D48)","여자","40 - 44세","사망률[십만명당]","십만명당","46","42.2","40.8","38.7","39.2","38.9","36.8","34.9","36.2","35.9","35.7","35","33.9","34.4","30.6","31.9","29.6","29.8","30.1",
"신생물 (C00-D48)","여자","45 - 49세","사망자수[명]","명","1294","1371","1270","1374","1360","1308","1308","1189","1199","1209","1195","1163","1149","1091","1110","1103","1160","1035","1005",
"신생물 (C00-D48)","여자","45 - 49세","사망률[십만명당]","십만명당","69.4","69.8","61.6","64.4","63.1","60.9","61.8","57.7","59.2","58.6","56.3","53.9","52.1","48.7","49.7","50","53.8","49.7","49.9",
"신생물 (C00-D48)","여자","50 - 54세","사망자수[명]","명","1357","1472","1523","1555","1653","1701","1761","1742","1850","1920","1825","1686","1676","1489","1542","1566","1574","1565","1583",
"신생물 (C00-D48)","여자","50 - 54세","사망률[십만명당]","십만명당","103.6","104.5","99.1","94.8","95.1","91.7","89.9","84.7","86.9","89.4","85.4","80","81.7","73.8","75.1","74.2","73.3","71.3","71",
"신생물 (C00-D48)","여자","55 - 59세","사망자수[명]","명","1625","1674","1717","1700","1720","1679","1717","1863","1895","1998","2172","2222","2332","2204","2209","2249","2192","2104","1918",
"신생물 (C00-D48)","여자","55 - 59세","사망률[십만명당]","십만명당","149.5","147.6","146.5","140.6","137.5","129.2","122.7","121.9","116.1","115.6","117.9","114.2","114.2","104.3","103.5","105.9","104.8","103.3","95.7",
"신생물 (C00-D48)","여자","60 - 64세","사망자수[명]","명","2476","2406","2044","2120","2054","2122","2103","2112","2020","2189","2070","2236","2391","2376","2440","2637","2656","2855","2815",
"신생물 (C00-D48)","여자","60 - 64세","사망률[십만명당]","십만명당","231.7","228.4","197.7","207.8","198.7","198","187.9","182.5","169.1","177.1","161.1","161.6","158.2","147.1","142.6","144.6","137.9","141.2","134.5",
"신생물 (C00-D48)","여자","65 - 69세","사망자수[명]","명","3089","3046","3042","3072","3086","3067","2964","2772","2568","2580","2582","2613","2619","2614","2546","2619","2748","2977","3069",
"신생물 (C00-D48)","여자","65 - 69세","사망률[십만명당]","십만명당","342.1","328.4","320.1","307.2","297","295","288.7","274.6","257.4","254.9","245.7","237.9","230.4","222.5","209.2","206.9","201.5","199.7","192.6",
"신생물 (C00-D48)","여자","70 - 74세","사망자수[명]","명","3552","3654","3697","3890","3782","3916","3890","3674","3920","4020","3870","3875","3654","3500","3167","3331","3308","3329","3541",
"신생물 (C00-D48)","여자","70 - 74세","사망률[십만명당]","십만명당","535.6","521.3","497.5","498.4","463.7","459","442.2","406.3","410.8","404.7","388.7","393.3","376.4","363.8","323.4","327.1","310.2","301.3","310.1",
"신생물 (C00-D48)","여자","75 - 79세","사망자수[명]","명","3663","3833","3925","4046","4101","4192","4541","4591","4545","4907","4950","4910","4922","4993","5054","4904","4786","4552","4335",
"신생물 (C00-D48)","여자","75 - 79세","사망률[십만명당]","십만명당","820.7","803.2","777.3","759.7","732.3","709.5","721.8","684.4","642","660.7","634.4","607.8","590.7","565.4","547.9","528.8","519.9","500.5","479.5",
"신생물 (C00-D48)","여자","80세이상","사망자수[명]","명","4459","4840","4994","5526","5852","6446","7290","7495","8144","8270","9042","9469","10429","10944","11493","11980","12380","12943","13432",
"신생물 (C00-D48)","여자","80세이상","사망률[십만명당]","십만명당","1002.9","1039.4","1018.5","1062.3","1048.7","1073.2","1128.7","1086.2","1105.5","1049","1067.6","1036.4","1062.2","1043.1","1029.1","1005","976.4","963.3","939.8",
"신생물 (C00-D48)","여자","80 - 84세","사망자수[명]","명","2787","3005","2986","3200","3295","3617","4005","4045","4330","4382","4746","4828","5247","5391","5407","5527","5670","5704","5994",
"신생물 (C00-D48)","여자","80 - 84세","사망률[십만명당]","십만명당","1022.2","1055.5","1003.5","1028.7","1002.9","1022.6","1045.8","988.4","995","950.5","968.1","917.1","928.1","897.9","853.6","825.7","812.9","788","779.2",
"신생물 (C00-D48)","여자","85 - 89세","사망자수[명]","명","1267","1309","1505","1705","1894","2095","2350","2410","2664","2605","2913","3210","3546","3763","3974","4248","4367","4782","4904",
"신생물 (C00-D48)","여자","85 - 89세","사망률[십만명당]","십만명당","1051.2","1033.2","1114.5","1161","1161.9","1189.9","1259","1219.4","1272.6","1160.8","1189.2","1197.5","1228.3","1214.7","1200.7","1195.9","1130.8","1141.2","1100.8",
"신생물 (C00-D48)","여자","90세이상","사망자수[명]","명","405","526","503","621","663","734","935","1040","1150","1283","1383","1431","1636","1790","2112","2205","2343","2457","2534",
"신생물 (C00-D48)","여자","90세이상","사망률[십만명당]","십만명당","787.1","969.3","871.3","997.5","996.9","1035.9","1225.6","1250.4","1247.4","1246.4","1237.5","1201.1","1279.8","1287.3","1385.1","1316.6","1272","1224.5","1181.1",
"신생물 (C00-D48)","여자","15세 미만","사망자수[명]","명","151","143","139","155","106","113","82","91","83","71","86","58","72","66","75","37","41","57","48",
"신생물 (C00-D48)","여자","15세 미만","사망률[십만명당]","십만명당","3.3","3.2","3.2","3.7","2.6","2.8","2.1","2.4","2.2","2","2.4","1.7","2.1","2","2.3","1.2","1.3","1.9","1.6",
"신생물 (C00-D48)","여자","15 - 64세","사망자수[명]","명","8942","9072","8515","8660","8663","8695","8633","8606","8626","9005","8820","8927","9022","8574","8615","8814","8824","8676","8450",
"신생물 (C00-D48)","여자","15 - 64세","사망률[십만명당]","십만명당","52","52.5","49.1","49.6","49.3","49.2","48.4","47.9","47.8","49.7","48.5","49","49.3","46.9","47.3","48.6","49","48.5","47.7",
"신생물 (C00-D48)","여자","65세 이상","사망자수[명]","명","14763","15373","15658","16534","16821","17621","18685","18532","19177","19777","20444","20867","21624","22051","22260","22834","23222","23801","24377",
"신생물 (C00-D48)","여자","65세 이상","사망률[십만명당]","십만명당","600.8","597.8","582.3","583.6","565.9","571.3","587.3","566","564.6","559.2","556.5","548.4","551.2","541.9","525.5","518.5","502.8","490.9","481",
"신생물 (C00-D48)","여자","연령미상","사망자수[명]","명","0","0","0","1","0","2","1","2","0","0","0","1","2","0","0","1","3","2","0",
"신생물 (C00-D48)","여자","연령미상","사망률[십만명당]","십만명당","","","","","","","","","","","","","","","","","","","",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","15 - 19세","사망자수[명]","명","5","8","8","9","6","8","8","10","5","11","7","5","9","8","7","7","6","3","7",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","15 - 19세","사망률[십만명당]","명",".2",".3",".3",".3",".2",".2",".2",".3",".1",".3",".2",".2",".3",".3",".2",".3",".2",".1",".3",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","20 - 24세","사망자수[명]","명","12","9","7","12","7","7","9","9","7","10","7","6","3","5","6","7","7","3","2",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","20 - 24세","사망률[십만명당]","명",".3",".2",".2",".4",".2",".2",".3",".3",".2",".3",".2",".2",".1",".1",".2",".2",".2",".1",".1",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","25 - 29세","사망자수[명]","명","6","7","12","11","9","7","8","7","6","8","2","7","7","4","6","5","5","6","2",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","25 - 29세","사망률[십만명당]","명",".2",".2",".3",".3",".2",".2",".2",".2",".2",".2",".1",".2",".2",".1",".2",".1",".1",".2",".1",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","30 - 34세","사망자수[명]","명","24","14","21","14","14","6","11","8","13","4","5","8","6","5","12","5","7","4","3",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","30 - 34세","사망률[십만명당]","명",".5",".3",".5",".3",".4",".2",".3",".2",".3",".1",".1",".2",".2",".1",".4",".2",".2",".1",".1",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","35 - 39세","사망자수[명]","명","10","13","12","11","12","11","14","6","12","4","10","14","7","7","7","4","10","4","13",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","35 - 39세","사망률[십만명당]","명",".2",".3",".3",".2",".3",".2",".3",".1",".3",".1",".3",".4",".2",".2",".2",".1",".3",".1",".4",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","40 - 44세","사망자수[명]","명","16","18","7","17","14","12","15","14","14","18","12","15","17","11","10","4","16","14","8",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","40 - 44세","사망률[십만명당]","명",".4",".4",".2",".4",".3",".3",".3",".3",".3",".4",".3",".3",".4",".3",".3",".1",".4",".4",".2",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","45 - 49세","사망자수[명]","명","17","25","21","23","20","20","20","26","18","15","20","16","12","19","15","17","15","18","18",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","45 - 49세","사망률[십만명당]","명",".4",".6",".5",".5",".5",".5",".5",".6",".4",".4",".5",".4",".3",".4",".3",".4",".3",".4",".4",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","50 - 54세","사망자수[명]","명","22","17","22","27","14","21","29","31","34","37","26","13","13","21","22","28","27","24","27",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","50 - 54세","사망률[십만명당]","명",".8",".6",".7",".8",".4",".6",".7",".7",".8",".9",".6",".3",".3",".5",".5",".7",".6",".5",".6",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","55 - 59세","사망자수[명]","명","19","12","27","15","15","15","30","23","33","29","28","32","34","39","30","34","24","27","40",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","55 - 59세","사망률[십만명당]","명",".9",".5","1.2",".6",".6",".6","1.1",".8","1",".8",".8",".8",".8",".9",".7",".8",".6",".7","1",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","60 - 64세","사망자수[명]","명","22","34","35","28","33","42","28","21","25","36","32","38","42","47","46","47","50","49","48",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","60 - 64세","사망률[십만명당]","명","1.1","1.7","1.8","1.4","1.7","2","1.3",".9","1.1","1.5","1.3","1.4","1.4","1.5","1.4","1.3","1.3","1.2","1.2",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","65 - 69세","사망자수[명]","명","47","48","44","46","48","61","50","36","44","46","33","56","33","44","50","45","58","62","58",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","65 - 69세","사망률[십만명당]","명","2.9","2.9","2.5","2.5","2.5","3.2","2.6","1.9","2.3","2.4","1.6","2.7","1.5","1.9","2.1","1.8","2.2","2.2","1.9",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","70 - 74세","사망자수[명]","명","50","49","40","53","56","53","75","83","72","78","72","70","63","60","69","60","61","67","87",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","70 - 74세","사망률[십만명당]","명","4.6","4.2","3.2","4","4","3.6","4.9","5.2","4.3","4.4","4","3.9","3.6","3.4","3.8","3.2","3","3.2","4",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","75 - 79세","사망자수[명]","명","60","51","62","76","50","104","83","77","86","100","93","91","101","105","130","123","129","88","113",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","75 - 79세","사망률[십만명당]","명","8.8","7","8.1","9.3","5.8","11.2","8.3","7.1","7.5","8.2","7.2","6.7","7.2","7","8.2","7.7","8","5.5","7",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","80세이상","사망자수[명]","명","93","92","109","122","155","181","205","202","231","271","264","329","342","380","446","428","442","470","442",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","80세이상","사망률[십만명당]","명","14.8","14","15.7","16.6","19.7","21.4","22.6","20.9","22.3","24.3","21.9","25.1","24.1","24.8","27.1","24.2","23.3","23.2","20.4",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","80 - 84세","사망자수[명]","명","49","44","59","65","68","85","92","96","97","96","107","121","125","133","168","150","160","151","157",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","80 - 84세","사망률[십만명당]","명","12.3","10.6","13.6","14.4","14.3","16.6","16.6","16.2","15.3","14.2","14.7","15.2","14.5","14.3","17","14.2","14.4","13","12.6",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","85 - 89세","사망자수[명]","명","33","32","34","32","53","61","73","70","93","103","98","114","126","151","153","158","162","166","158",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","85 - 89세","사망률[십만명당]","명","20.2","18.4","18.3","15.8","23.6","25.1","28.4","25.9","32.5","33.7","29.4","31.2","32","35.4","33.2","31.6","29.5","27.5","24.4",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","90세이상","사망자수[명]","명","11","16","16","25","34","35","40","36","41","72","59","94","91","96","125","120","120","153","127",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","90세이상","사망률[십만명당]","명","17.1","23.5","22.1","32","40.6","39","41.2","33.9","34.9","54.7","41.2","61.5","55.8","54.2","64.4","56.2","51","59.7","46.1",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","15세 미만","사망자수[명]","명","43","46","36","45","30","23","30","19","26","23","25","24","13","22","16","19","23","9","14",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","15세 미만","사망률[십만명당]","명",".5",".5",".4",".5",".3",".3",".4",".2",".3",".3",".3",".3",".2",".3",".2",".3",".4",".1",".2",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","15 - 64세","사망자수[명]","명","153","157","172","167","144","149","172","155","167","172","149","154","150","166","161","158","167","152","168",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","15 - 64세","사망률[십만명당]","명",".4",".4",".5",".5",".4",".4",".5",".4",".5",".5",".4",".4",".4",".4",".4",".4",".5",".4",".5",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","65세 이상","사망자수[명]","명","250","240","255","297","309","399","413","398","433","495","462","546","539","589","695","656","690","687","700",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","65세 이상","사망률[십만명당]","명","6.2","5.7","5.7","6.3","6.2","7.7","7.7","7.2","7.5","8.2","7.3","8.3","7.9","8.3","9.4","8.5","8.5","8","7.8",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","연령미상","사망자수[명]","명","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","0",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","계","연령미상","사망률[십만명당]","명","","","","","","","","","","","","","","","","","","","",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","15 - 19세","사망자수[명]","명","3","3","6","5","4","6","4","5","3","8","6","2","5","4","3","3","4","2","4",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","15 - 19세","사망률[십만명당]","명",".2",".2",".4",".3",".2",".3",".2",".3",".2",".4",".3",".1",".3",".3",".2",".2",".3",".2",".3",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","20 - 24세","사망자수[명]","명","8","3","3","6","4","5","5","4","7","5","5","3","0","2","6","6","3","1","0",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","20 - 24세","사망률[십만명당]","명",".4",".2",".2",".3",".2",".3",".3",".2",".4",".3",".3",".2","",".1",".3",".3",".2",".1","",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","25 - 29세","사망자수[명]","명","1","3","6","8","7","4","3","3","4","5","1","6","4","0","2","2","2","1","1",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","25 - 29세","사망률[십만명당]","명",".1",".2",".3",".4",".3",".2",".2",".2",".2",".3",".1",".4",".2","",".1",".1",".1",".1",".1",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","30 - 34세","사망자수[명]","명","8","10","10","8","7","2","5","3","4","4","4","6","2","3","5","4","3","2","1",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","30 - 34세","사망률[십만명당]","명",".3",".4",".5",".4",".3",".1",".3",".1",".2",".2",".2",".3",".1",".2",".3",".2",".2",".1",".1",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","35 - 39세","사망자수[명]","명","6","7","9","7","7","6","3","3","7","4","6","7","3","4","2","2","4","3","5",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","35 - 39세","사망률[십만명당]","명",".3",".3",".4",".3",".3",".3",".1",".1",".3",".2",".3",".4",".1",".2",".1",".1",".2",".2",".3",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","40 - 44세","사망자수[명]","명","7","8","5","7","11","8","9","5","7","11","5","6","7","4","7","4","8","7","5",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","40 - 44세","사망률[십만명당]","명",".3",".4",".2",".3",".5",".4",".4",".2",".3",".5",".2",".3",".3",".2",".3",".2",".4",".4",".2",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","45 - 49세","사망자수[명]","명","13","12","9","13","10","12","10","16","10","10","10","6","6","14","11","10","8","7","7",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","45 - 49세","사망률[십만명당]","명",".7",".6",".4",".6",".4",".5",".5",".7",".5",".5",".5",".3",".3",".6",".5",".4",".4",".3",".3",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","50 - 54세","사망자수[명]","명","11","8","11","13","10","13","18","14","25","16","14","6","8","15","10","19","14","12","17",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","50 - 54세","사망률[십만명당]","명",".8",".6",".7",".8",".6",".7",".9",".7","1.2",".7",".6",".3",".4",".7",".5",".9",".6",".5",".8",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","55 - 59세","사망자수[명]","명","8","6","15","6","13","5","22","8","21","12","20","18","21","25","17","15","14","19","23",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","55 - 59세","사망률[십만명당]","명",".8",".5","1.3",".5","1.1",".4","1.6",".5","1.3",".7","1.1",".9","1","1.2",".8",".7",".7",".9","1.1",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","60 - 64세","사망자수[명]","명","13","21","20","16","25","25","13","14","13","23","19","27","21","28","27","29","32","30","29",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","60 - 64세","사망률[십만명당]","명","1.4","2.2","2.1","1.7","2.6","2.5","1.2","1.3","1.1","1.9","1.5","2","1.4","1.8","1.6","1.6","1.7","1.5","1.4",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","65 - 69세","사망자수[명]","명","26","29","22","20","22","35","29","23","27","27","19","34","22","27","28","26","38","31","34",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","65 - 69세","사망률[십만명당]","명","3.6","3.9","2.8","2.4","2.5","4","3.3","2.6","3.1","3","2","3.4","2.1","2.5","2.5","2.2","3","2.2","2.3",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","70 - 74세","사망자수[명]","명","27","17","15","26","21","26","39","56","29","36","40","41","28","26","47","32","33","41","42",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","70 - 74세","사망률[십만명당]","명","6.4","3.7","3","4.7","3.6","4.2","5.9","8.2","3.9","4.6","5.1","5.2","3.5","3.2","5.6","3.6","3.5","4.2","4.2",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","75 - 79세","사망자수[명]","명","26","22","24","33","15","49","50","32","40","45","51","44","50","44","59","61","69","43","56",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","75 - 79세","사망률[십만명당]","명","11.1","8.8","9.1","11.6","4.9","14.6","13.5","7.8","9","9.4","9.9","8.1","8.7","7.1","8.9","9","10.1","6.2","8",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","80세이상","사망자수[명]","명","32","33","28","40","43","63","58","72","64","90","71","103","101","102","144","133","134","158","144",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","80세이상","사망률[십만명당]","명","17.5","17.2","13.9","18.8","19","25.9","22.2","25.8","21.3","27.5","19.7","25.9","23","21.1","27.3","23","21.3","23.3","19.4",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","80 - 84세","사망자수[명]","명","15","21","18","27","21","36","27","40","30","38","29","45","45","48","63","63","59","68","66",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","80 - 84세","사망률[십만명당]","명","11.9","16","13.2","19.1","14.2","22.8","15.8","21.9","15.1","17.5","12.1","16.8","15","14.6","17.7","16.3","14.3","15.5","13.8",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","85 - 89세","사망자수[명]","명","13","11","7","11","15","19","21","20","29","37","28","34","32","41","46","50","42","62","51",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","85 - 89세","사망률[십만명당]","명","30.1","23.4","13.7","19.7","24.3","28.5","30","27.4","37.9","45.4","31.6","35","30.4","35.2","35.5","34.6","25.7","33.7","25.2",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","90세이상","사망자수[명]","명","4","1","3","2","7","8","10","12","5","15","14","24","24","13","35","20","33","28","27",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","90세이상","사망률[십만명당]","명","30.9","7.3","20.5","12.6","40.6","42.4","47.9","52.4","19.7","52.4","44.3","71.4","67.9","34.2","84.3","43.4","64.8","50.3","44.5",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","15세 미만","사망자수[명]","명","30","25","19","29","17","15","18","12","18","11","12","13","4","10","8","11","12","5","7",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","15세 미만","사망률[십만명당]","명",".6",".5",".4",".6",".4",".3",".4",".3",".5",".3",".3",".4",".1",".3",".2",".3",".4",".2",".2",
"혈액 및 조혈기관질환과 면역메커니즘을 침범하는 특정장애 (D50-D89)","남자","15 - 64세","사망자수[명]","명","78","81","94","89","98","86","92","75","101","98","90","87","77","99","90","94","92","84","92",
